Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,ITRC-3321,287174,,Design Certificate PDF with Wallet Size Cutout,ifarrukh,rsanchez,Medium,Closed,Done,25/Feb/19 3:15 PM,17/May/19 3:12 PM,08/Mar/19 12:00 AM
Service Request,ITRC-3318,286827,,Recreate trial SCORM module for testing and sharing,fliu253,sfoster9,High,Closed,Done,22/Feb/19 3:41 PM,01/Mar/19 3:11 PM,
Service Request,ITRC-3317,285861,,Fabiana Crowley - Articulate Module Design Assistance,aaladl,apypstra,Medium,Open,,15/Feb/19 12:18 PM,04/Jun/19 11:41 AM,
Task,ITRC-3313,283437,,Eng Training HTML5 Module Conversions,,ccretu,Medium,Closed,Done,01/Feb/19 12:52 PM,05/Mar/19 12:43 PM,28/Feb/19 12:00 AM
Task,ITRC-3312,282669,,CEL Book Design Phase II (Senor Churro Bilingual),astew5,astew5,Medium,Closed,Fixed,29/Jan/19 2:54 PM,07/May/19 11:59 AM,
Task,ITRC-3309,281928,,Project Management/Work Flow Training Video,ifarrukh,ifarrukh,Medium,Investigating,,24/Jan/19 4:01 PM,24/Jan/19 4:02 PM,18/Apr/19 12:00 AM
Task,ITRC-3302,280580,,Internal Training Video - Editing Techniques,astew5,astew5,Medium,Closed,Done,17/Jan/19 3:50 PM,12/Apr/19 1:39 PM,
Sub-task,ITRC-3297,279971,279757,Test Ticket - Project Type,yalshara,rsanchez,Medium,Investigating,,15/Jan/19 4:29 PM,15/Jan/19 5:00 PM,31/Jan/19 12:00 AM
Sub-task,ITRC-3296,279965,279757,UI,,yalshara,Medium,Open,,15/Jan/19 4:16 PM,05/Feb/19 3:48 PM,
Sub-task,ITRC-3295,279964,279757,Build a CSV Parser,yalshara,yalshara,Medium,Open,,15/Jan/19 4:14 PM,15/Feb/19 9:22 AM,
Sub-task,ITRC-3294,279962,279757,Database Set-up,ddorobek,yalshara,Medium,Open,,15/Jan/19 4:12 PM,11/Feb/19 3:04 PM,12/Feb/19 12:00 AM
Sub-task,ITRC-3292,279937,279757,Mockups and Workflow Design,dqian6,yalshara,Medium,Open,,15/Jan/19 3:27 PM,15/Jan/19 3:27 PM,
Task,ITRC-3290,279757,,Project Database of Projects,yalshara,yalshara,Medium,Open,,15/Jan/19 12:38 PM,14/May/19 1:57 PM,26/Apr/19 12:00 AM
Service Request,ITRC-3285,279173,,Rebecca Timbeck - Queens Articulate Modules Prep,ifarrukh,jsadle7,Medium,Investigating,,11/Jan/19 3:43 PM,18/Apr/19 3:20 PM,
Service Request,ITRC-3280,278610,,Apereo Promotional Video,jroach7,jroach7,Medium,Closed,Done,09/Jan/19 3:46 PM,23/Apr/19 12:18 PM,
Task,ITRC-3276,278410,,Western Libraries Customer Service Videos,zbaig4,zbaig4,Medium,Closed,Fixed,09/Jan/19 10:46 AM,02/Apr/19 2:00 PM,
Service Request,ITRC-3272,277598,,Powtoon - Fabiana Crowley,ddorobek,apypstra,Medium,Closed,Won't Do,07/Jan/19 9:42 AM,15/Feb/19 12:14 PM,
Sub-task,ITRC-3262,273439,270453,Style Guide,jlau333,jlau333,Medium,Closed,Fixed,28/Nov/18 3:19 PM,11/Jan/19 10:17 AM,19/Dec/18 12:00 AM
Task,ITRC-3260,273334,,Rebecca Timbeck - Testing Articulate Modules,jlau333,jsadle7,Medium,Open,,28/Nov/18 11:03 AM,17/Apr/19 3:04 PM,
Task,ITRC-3253,270505,,Create some graphics for green screen video demo,dqian6,sfoster9,High,Closed,Done,09/Nov/18 4:25 PM,15/Nov/18 3:12 PM,
Task,ITRC-3252,270453,,PT 9600 - Module Updates & Improvements ,yalshara,rsanchez,Medium,Investigating,,09/Nov/18 1:27 PM,10/Jun/19 11:47 AM,26/Jul/19 12:00 AM
Service Request,ITRC-3251,270284,,Latest David Stanford video edits,hwang763,jsadle7,Medium,Closed,Fixed,08/Nov/18 2:07 PM,13/Nov/18 4:17 PM,
Task,ITRC-3248,269663,,APPLHSCI 9002/8 Voiceovers,astew5,rsanchez,Medium,Closed,Won't Do,05/Nov/18 2:15 PM,16/Jan/19 4:41 PM,
Service Request,ITRC-3245,269443,,David stanford video editing,hwang763,jsadle7,Medium,Closed,Fixed,02/Nov/18 12:17 PM,08/Nov/18 2:05 PM,
Service Request,ITRC-3239,267208,,David Stanford Illustrations,jlau333,jsadle7,Medium,Open,,17/Oct/18 3:19 PM,17/Oct/18 3:23 PM,
Service Request,ITRC-3237,266960,,Physics Pre-Lab Modules,apypstra,apypstra,Minor,Waiting For External,,16/Oct/18 1:54 PM,06/Jun/19 8:42 AM,17/Dec/18 12:00 AM
Task,ITRC-3236,266540,,David Stanford Filming - October 12,,jsadle7,Medium,Closed,Fixed,12/Oct/18 1:15 PM,07/May/19 10:06 AM,
Sub-task,ITRC-3235,265930,265928,Lightboard Video,jroach7,jroach7,Medium,Open,,09/Oct/18 11:57 AM,08/Nov/18 12:09 PM,
Task,ITRC-3234,265928,,ITRC Marketing Videos ,,jroach7,Medium,Open,,09/Oct/18 11:54 AM,09/Oct/18 11:54 AM,
Sub-task,ITRC-3229,264832,236023,Voiceover Edit,jroach7,apypstra,Medium,Closed,Done,28/Sep/18 11:41 AM,30/Oct/18 4:00 PM,
Service Request,ITRC-3225,263657,,Maker Space Education - Immaculate Namukasa,aheintz,apypstra,Medium,Waiting For External,,21/Sep/18 10:25 AM,20/Nov/18 10:56 AM,
Sub-task,ITRC-3224,263656,258617,Carole Orchard - Data Retention Ends,apypstra,apypstra,Medium,Roadmap,,21/Sep/18 10:22 AM,21/Sep/18 10:23 AM,04/Sep/19 12:00 AM
